timestamp,sample
1726836550359,-30
1726836550487,275
1726836550495,-34
1726836550503,-808
1726836550511,-865
1726836550519,405
1726836550527,1912
1726836550535,2171
1726836550543,1162
1726836550551,185
1726836550559,23
1726836550567,27
1726836550575,-120
1726836550583,-144
1726836550591,-149
1726836550599,-151
1726836550607,-124
1726836550615,-110
1726836550623,-108
1726836550631,-147
1726836550639,-31
1726836550647,420
1726836550655,837
1726836550663,594
1726836550671,-358
1726836550679,-1260
1726836550687,-1332
1726836550695,-675
1726836550703,-5
1726836550711,225
1726836550719,168
1726836550727,70
1726836550735,9
1726836550743,-9
1726836550751,-19
1726836550759,-33
1726836550767,-40
1726836550775,-51
1726836550783,-63
1726836550791,-69
1726836550799,-73
1726836550807,-70
1726836550815,-68
1726836550823,-64
1726836550831,-62
1726836550839,-60
1726836550847,-58
1726836550855,-52
1726836550863,-48
1726836550871,-44
1726836550879,-43
1726836550887,-43
1726836550895,-43
1726836550903,-43
1726836550911,-41
1726836550919,-44
1726836550927,-51
1726836550935,-63
1726836550943,-67
1726836550951,-69
1726836550959,-66
1726836550967,-68
1726836550975,-74
1726836550983,-78
1726836550991,-82
1726836550999,-87
1726836551007,-100
1726836551015,-117
1726836551023,-131
1726836551031,-135
1726836551039,-133
1726836551047,-121
1726836551055,-109
1726836551063,-97
1726836551071,-83
1726836551079,-72
1726836551087,-64
1726836551095,-52
1726836551103,-41
1726836551111,-39
1726836551119,-42
1726836551127,-46
1726836551135,-48
1726836551143,-53
1726836551151,-61
1726836551159,-66
1726836551167,-68
1726836551175,-73
1726836551183,-81
1726836551191,-90
1726836551199,-96
1726836551207,-96
1726836551215,-90
1726836551223,-85
1726836551231,-83
1726836551239,-85
1726836551247,-83
1726836551255,-78
1726836551263,-74
1726836551271,-71
1726836551279,-71
1726836551287,-72
1726836551295,-72
1726836551303,-69
1726836551311,-67
1726836551319,-68
1726836551327,-70
1726836551335,-72
1726836551343,-73
1726836551351,-74
1726836551359,-72
1726836551367,-70
1726836551375,-74
1726836551383,-80
1726836551391,-80
1726836551399,-77
1726836551407,-74
1726836551415,-71
1726836551423,-70
1726836551431,-73
1726836551439,-75
1726836551447,-77
1726836551455,-77
1726836551463,-81
1726836551471,-80
1726836551479,-75
1726836551487,-69
1726836551495,-54
1726836551503,-28
1726836551511,-13
1726836551519,-25
1726836551527,-60
1726836551535,-83
1726836551543,-81
1726836551551,-78
1726836551559,-92
1726836551567,-103
1726836551575,-101
1726836551583,-84
1726836551591,-65
1726836551599,-50
1726836551607,-56
1726836551615,-115
1726836551623,-35
1726836551631,402
1726836551639,889
1726836551647,734
1726836551655,-203
1726836551663,-1161
1726836551671,-1300
1726836551679,-668
1726836551687,-20
1726836551695,169
1726836551703,93
1726836551711,21
1726836551719,-10
1726836551727,-24
1726836551735,-30
1726836551743,-41
1726836551751,-41
1726836551759,-41
1726836551767,-44
1726836551775,-46
1726836551783,-46
1726836551791,-45
1726836551799,-45
1726836551807,-41
1726836551815,-40
1726836551823,-41
1726836551831,-42
1726836551839,-36
1726836551847,-25
1726836551855,-22
1726836551863,-28
1726836551871,-30
1726836551879,-24
1726836551887,-18
1726836551895,-21
1726836551903,-28
1726836551911,-36
1726836551919,-40
1726836551927,-46
1726836551935,-49
1726836551943,-54
1726836551951,-58
1726836551959,-64
1726836551967,-72
1726836551975,-82
1726836551983,-92
1726836551991,-105
1726836551999,-113
1726836552007,-121
1726836552015,-123
1726836552023,-123
1726836552031,-118
1726836552039,-106
1726836552047,-96
1726836552055,-88
1726836552063,-80
1726836552071,-66
1726836552079,-48
1726836552087,-38
1726836552095,-35
1726836552103,-37
1726836552111,-44
1726836552119,-44
1726836552127,-38
1726836552135,-38
1726836552143,-44
1726836552151,-59
1726836552159,-72
1726836552167,-78
1726836552175,-77
1726836552183,-75
1726836552191,-75
1726836552199,-74
1726836552207,-77
1726836552215,-80
1726836552223,-83
1726836552231,-80
1726836552239,-77
1726836552247,-73
1726836552255,-70
1726836552263,-66
1726836552271,-68
1726836552279,-72
1726836552287,-74
1726836552295,-69
1726836552303,-64
1726836552311,-64
1726836552319,-68
1726836552327,-68
1726836552335,-65
1726836552343,-65
1726836552351,-66
1726836552359,-68
1726836552367,-66
1726836552375,-64
1726836552383,-63
1726836552391,-64
1726836552399,-65
1726836552407,-63
1726836552415,-61
1726836552423,-60
1726836552431,-64
1726836552439,-69
1726836552447,-70
1726836552455,-63
1726836552463,-53
1726836552471,-41
1726836552479,-25
1726836552487,-17
1726836552495,-31
1726836552503,-62
1726836552511,-83
1726836552519,-85
1726836552527,-84
1726836552535,-85
1726836552543,-85
1726836552551,-83
1726836552559,-75
1726836552567,-59
1726836552575,-43
1726836552583,-33
1726836552591,-79
1726836552599,-63
1726836552607,274
1726836552615,784
1726836552623,836
1726836552631,83
1726836552639,-962
1726836552647,-1395
1726836552655,-952
1726836552663,-219
1726836552671,174
1726836552679,187
1726836552687,103
1726836552695,42
1726836552703,17
1726836552711,-1
1726836552719,-25
1726836552727,-36
1726836552735,-43
1726836552743,-49
1726836552751,-51
1726836552759,-52
1726836552767,-52
1726836552775,-49
1726836552783,-43
1726836552791,-40
1726836552799,-43
1726836552807,-40
1726836552815,-33
1726836552823,-32
1726836552831,-37
1726836552839,-37
1726836552847,-26
1726836552855,-15
1726836552863,-19
1726836552871,-28
1726836552879,-36
1726836552887,-39
1726836552895,-45
1726836552903,-51
1726836552911,-54
1726836552919,-55
1726836552927,-51
1726836552935,-51
1726836552943,-52
1726836552951,-61
1726836552959,-76
1726836552967,-91
1726836552975,-97
1726836552983,-104
1726836552991,-112
1726836552999,-117
1726836553007,-118
1726836553015,-110
1726836553023,-100
1726836553031,-88
1726836553039,-73
1726836553047,-61
1726836553055,-52
1726836553063,-51
1726836553071,-51
1726836553079,-41
1726836553087,-34
1726836553095,-27
1726836553103,-34
1726836553111,-46
1726836553119,-54
1726836553127,-65
1726836553135,-73
1726836553143,-85
1726836553151,-84
1726836553159,-77
1726836553167,-77
1726836553175,-81
1726836553183,-85
1726836553191,-86
1726836553199,-83
1726836553207,-82
1726836553215,-81
1726836553223,-75
1726836553231,-71
1726836553239,-71
1726836553247,-77
1726836553255,-74
1726836553263,-60
1726836553271,-48
1726836553279,-54
1726836553287,-61
1726836553295,-65
1726836553303,-68
1726836553311,-72
1726836553319,-71
1726836553327,-65
1726836553335,-60
1726836553343,-68
1726836553351,-75
1726836553359,-72
1726836553367,-59
1726836553375,-53
1726836553383,-61
1726836553391,-71
1726836553399,-70
1726836553407,-48
1726836553415,-17
1726836553423,-1
1726836553431,-17
1726836553439,-57
1726836553447,-86
1726836553455,-85
1726836553463,-77
1726836553471,-75
1726836553479,-83
1726836553487,-89
1726836553495,-80
1726836553503,-61
1726836553511,-49
1726836553519,-45
1726836553527,-85
1726836553535,-64
1726836553543,282
1726836553551,802
1726836553559,853
1726836553567,83
1726836553575,-993
1726836553583,-1444
1726836553591,-991
1726836553599,-217
1726836553607,205
1726836553615,226
1726836553623,125
1726836553631,41
1726836553639,7
1726836553647,2
1726836553655,-17
1726836553663,-32
1726836553671,-46
1726836553679,-54
1726836553687,-61
1726836553695,-59
1726836553703,-55
1726836553711,-53
1726836553719,-54
1726836553727,-55
1726836553735,-53
1726836553743,-46
1726836553751,-37
1726836553759,-35
1726836553767,-39
1726836553775,-34
1726836553783,-26
1726836553791,-23
1726836553799,-23
1726836553807,-29
1726836553815,-31
1726836553823,-35
1726836553831,-44
1726836553839,-55
1726836553847,-60
1726836553855,-61
1726836553863,-58
1726836553871,-60
1726836553879,-65
1726836553887,-75
1726836553895,-83
1726836553903,-90
1726836553911,-105
1726836553919,-117
1726836553927,-129
1726836553935,-128
1726836553943,-124
1726836553951,-116
1726836553959,-102
1726836553967,-87
1726836553975,-73
1726836553983,-61
1726836553991,-48
1726836553999,-42
1726836554007,-38
1726836554015,-35
1726836554023,-31
1726836554031,-34
1726836554039,-37
1726836554047,-44
1726836554055,-53
1726836554063,-61
1726836554071,-68
1726836554079,-76
1726836554087,-79
1726836554095,-81
1726836554103,-85
1726836554111,-89
1726836554119,-91
1726836554127,-81
1726836554135,-73
1726836554143,-73
1726836554151,-79
1726836554159,-80
1726836554167,-73
1726836554175,-71
1726836554183,-70
1726836554191,-71
1726836554199,-69
1726836554207,-63
1726836554215,-62
1726836554223,-66
1726836554231,-69
1726836554239,-71
1726836554247,-68
1726836554255,-68
1726836554263,-68
1726836554271,-64
1726836554279,-62
1726836554287,-63
1726836554295,-66
1726836554303,-67
1726836554311,-63
1726836554319,-60
1726836554327,-59
1726836554335,-64
1726836554343,-63
1726836554351,-60
1726836554359,-60
1726836554367,-49
1726836554375,-27
1726836554383,-8
1726836554391,-15
1726836554399,-49
1726836554407,-75
1726836554415,-76
1726836554423,-69
1726836554431,-73
1726836554439,-81
1726836554447,-87
1726836554455,-82
1726836554463,-71
1726836554471,-56
1726836554479,-43
1726836554487,-77
1726836554495,-84
1726836554503,223
1726836554511,789
1726836554519,962
1726836554527,260
1726836554535,-858
1726836554543,-1395
1726836554551,-983
1726836554559,-228
1726836554567,147
1726836554575,119
1726836554583,28
1726836554591,-5
1726836554599,-19
1726836554607,-27
1726836554615,-37
1726836554623,-44
1726836554631,-42
1726836554639,-41
1726836554647,-39
1726836554655,-43
1726836554663,-44
1726836554671,-48
1726836554679,-46
1726836554687,-43
1726836554695,-38
1726836554703,-38
1726836554711,-32
1726836554719,-26
1726836554727,-19
1726836554735,-15
1726836554743,-13
1726836554751,-12
1726836554759,-8
1726836554767,-4
1726836554775,-4
1726836554783,-8
1726836554791,-15
1726836554799,-25
1726836554807,-35
1726836554815,-45
1726836554823,-50
1726836554831,-59
1726836554839,-74
1726836554847,-85
1726836554855,-92
1726836554863,-98
1726836554871,-108
1726836554879,-117
1726836554887,-115
1726836554895,-110
1726836554903,-100
1726836554911,-95
1726836554919,-90
1726836554927,-84
1726836554935,-77
1726836554943,-65
1726836554951,-54
1726836554959,-52
1726836554967,-51
1726836554975,-49
1726836554983,-46
1726836554991,-44
1726836554999,-44
1726836555007,-44
1726836555015,-44
1726836555023,-49
1726836555031,-50
1726836555039,-50
1726836555047,-52
1726836555055,-62
1726836555063,-69
1726836555071,-73
1726836555079,-70
1726836555087,-71
1726836555095,-70
1726836555103,-72
1726836555111,-73
1726836555119,-74
1726836555127,-66
1726836555135,-65
1726836555143,-64
1726836555151,-62
1726836555159,-60
1726836555167,-59
1726836555175,-63
1726836555183,-62
1726836555191,-59
1726836555199,-60
1726836555207,-62
1726836555215,-60
1726836555223,-56
1726836555231,-54
1726836555239,-56
1726836555247,-55
1726836555255,-55
1726836555263,-55
1726836555271,-58
1726836555279,-62
1726836555287,-65
1726836555295,-63
1726836555303,-60
1726836555311,-55
1726836555319,-50
1726836555327,-32
1726836555335,-10
1726836555343,-1
1726836555351,-21
1726836555359,-60
1726836555367,-79
1726836555375,-80
1726836555383,-78
1726836555391,-79
1726836555399,-84
1726836555407,-84
1726836555415,-76
1726836555423,-58
1726836555431,-42
1726836555439,-45
1726836555447,-100
1726836555455,-53
1726836555463,354
1726836555471,880
1726836555479,836
1726836555487,-41
1726836555495,-1074
1726836555503,-1345
1726836555511,-765
1726836555519,-68
1726836555527,182
1726836555535,106
1726836555543,19
1726836555551,-17
1726836555559,-27
1726836555567,-31
1726836555575,-33
1726836555583,-39
1726836555591,-47
1726836555599,-54
1726836555607,-48